卫星,image,中文名称,英文名称,国籍,研发机构,任务类型,轨道类型,轨道高度,轨道倾角,运载火箭,发射日期,发射基地,设计寿命,质量,国际卫星标识符,NORAD,备注,文件名
宇宙2560号,"EO-MKA (EMKA, Zvesda ?)",,"Kosmos 2560 (EO-MKA #3 ?, MKA-R ?)",Russia,NPP VNIIEM (prime); OAO Peleng (imager),,,"295 km × 307 km, 96.34° (#1); 279 km × 294 km, 96.44° (#2); 328 km × 343 km, 96.35°",,Angara-1.2,2022年10月15日,Pl LC-35/1,,,2022-135A,,,
遥感三十四号03星,Yaogan 34,,Yaogan 34-03,China,SAST,Earth observation,,"1083 km × 1105 km, 63.38°",,CZ-4C,2022年11月15日,Jq LC-43/94,,,2022-154A,,中国遥感卫星系列,
“吉林一号”高分03D-08,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,Jilin-1 Gaofen-03D-08 (Jilin-1 High Resolution-03D-08),China,Chang Guang Satellite Technology Co.,Earth observation,,,,Ceres-1 (3) (Gushenxing-1 (3)),2022年11月16日,Jq LC-43/95A,,42 kg,2022-155,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-09,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,"Jilin-1 Gaofen-03D-09 (Jilin-1 High Resolution-03D-09, Xi'an Hangtou 1)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-35,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,"Jilin-1 Gaofen-03D-35 (Jilin-1 High Resolution-03D-35, Dongpo 01)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-36,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,"Jilin-1 Gaofen-03D-36 (Jilin-1 High Resolution-03D-36, Dongpo 02)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-37,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,"Jilin-1 Gaofen-03D-37 (Jilin-1 High Resolution-03D-37, Dongpo 03)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-38,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,"Jilin-1 Gaofen-03D-38 (Jilin-1 High Resolution-03D-38, Dongpo 04)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-39,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,"Jilin-1 Gaofen-03D-39 (Jilin-1 High Resolution-03D-39, Dongpo 05)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-40,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,"Jilin-1 Gaofen-03D-40 (Jilin-1 High Resolution-03D-40, Dongpo 06)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-41,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,"Jilin-1 Gaofen-03D-41 (Jilin-1 High Resolution-03D-41, Dongpo 07)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-42,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,"Jilin-1 Gaofen-03D-42 (Jilin-1 High Resolution-03D-42, Henan 1)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-43,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,"Jilin-1 Gaofen-03D-43 (Jilin-1 High Resolution-03D-43, Puyin 1)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-44,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,"Jilin-1 Gaofen-03D-44 (Jilin-1 High Resolution-03D-44, Dongpo 08)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,Jielong-3,2022年12月9日,@YS (Tai Rui),,42 kg,2022-167,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-45,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,"Jilin-1 Gaofen-03D-45 (Jilin-1 High Resolution-03D-45, Dongpo 09)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,Jielong-3,2022年12月9日,@YS (Tai Rui),,42 kg,2022-167,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-46,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,"Jilin-1 Gaofen-03D-46 (Jilin-1 High Resolution-03D-46, Dongpo 10)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,Jielong-3,2022年12月9日,@YS (Tai Rui),,42 kg,2022-167,,“吉林一号”高分卫星系列,
