中文名称,文件名,别名,英文名称,国籍,研发机构,任务类型,轨道类型,轨道高度,轨道倾角,运载火箭,发射日期,发射基地,设计寿命,质量,国际卫星标识符,NORAD,备注
宇宙2560号,"EO-MKA (EMKA, Zvesda ?).jpg",,"Kosmos 2560 (EO-MKA #3 ?, MKA-R ?)",俄罗斯,[[空间监控系统、信息和控制及机电综合体]] （初）; [[佩伦海外有限公司]] （相机）,,,328 km × 343 km,96.35°,[[安加拉]]-1.2,2022年10月15日,[[普列谢茨克航天发射场|普]] LC-35/1,,,2022-135A,54050,
遥感三十四号03星,Yaogan 34.jpg,,Yaogan 34-03,中国,[[八院]],遥感,,1083 km × 1105 km,63.38°,[[长征四号丙]],2022年11月15日,[[酒泉卫星发射中心|酒泉]] LC-43/94,,,2022-154A,54249,中国遥感卫星系列
“吉林一号”高分03D-08,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,Jilin-1 Gaofen-03D-08 (Jilin-1 High Resolution-03D-08),中国,[[长光卫星技术有限公司]],遥感,,,,[[谷神星一号]] (3),2022年11月16日,[[酒泉卫星发射中心|酒泉]] LC-43/95A,,42 kg,2022-155,54251,“吉林一号”高分卫星系列
“吉林一号”高分03D-09,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-09 (Jilin-1 High Resolution-03D-09, Xi'an Hangtou 1)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-35,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-35 (Jilin-1 High Resolution-03D-35, Dongpo 01)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-36,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-36 (Jilin-1 High Resolution-03D-36, Dongpo 02)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-37,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-37 (Jilin-1 High Resolution-03D-37, Dongpo 03)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-38,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-38 (Jilin-1 High Resolution-03D-38, Dongpo 04)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-39,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-39 (Jilin-1 High Resolution-03D-39, Dongpo 05)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
“吉林一号”高分03D-40,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D).jpg",,"Jilin-1 Gaofen-03D-40 (Jilin-1 High Resolution-03D-40, Dongpo 06)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”高分卫星系列
