数据集（可能重复）,中文名,外文名,性别,国籍,出生日期（请小心bug）,逝世日期,逝世日期（请小心bug）,职业,毕业院校,地位或主要成就,重定向,载人航天任务时长,舱外任务时长,编辑状态
None,谢尔盖·帕夫洛维奇·科罗廖夫,Sergei Korolev,男,苏联,1907年1月12日,1966年1月14日,1966年1月14日,火箭工程师、火箭设计师,莫斯科鲍曼高等技术学校,R-1弹道导弹的主持研发者;;R-7洲际导弹的主导研究者;;[[斯普特尼克1号]]的设计者和研发者;;[[东方号载人飞船]]的总设计师,科罗廖夫,,,已完成
None,钱学森,Qian Xuesen,男,中国,1911年12月11日,2009年10月31日,1998年3月14日,空气动力学家、系统科学家,交通大学、[[麻省理工学院]]、[[加州理工学院]],工程控制论先驱者;;中国科学院学部委员、中国工程院院士;;中国“两弹一星”研制和试验的领导者之一 ,Hsue-Shen Tsien,,,已完成
*{{Flagicon|CHN}} [[Yang Liwei]] — [[Shenzhou 5]],杨利伟,Yang Liwei,男,中国,1965年6月21日,,,航天员、中国人民解放军少将,中国人民解放军空军航空大学、[[清华大学]],中国第一位航天员（[[神舟五号]]航天员）;;中国载人航天工程副总设计师,,,,
*{{Flagicon|CHN}} [[Fei Junlong]] — [[Shenzhou 6]],费俊龙,Fei Junlong,男,中国,1965年5月5日,,,航天员,长春航校、[[清华大学]],[[神舟六号]]航天员,,,,
"*{{Flagicon|CHN}} [[Nie Haisheng]] — [[Shenzhou 6]], [[Shenzhou 10]], [[Shenzhou 12]]",聂海胜,Nie Haisheng,男,中国,1964年10月13日,,,航天员,中国人民解放军空军航天大学、[[上海交通大学]],[[神舟六号]]、[[神舟十号]]、[[神舟十二号]]航天员,,,,
,翟志刚,Zhai Zhigang,男,中国,1666年10月11日,,,航天员,空军长春飞行学院,[[神舟七号]]、[[神舟十三号]]航天员,,,,
,刘伯明,Liu Boming,男,中国,1666年9月17日,,,航天员,,[[神舟七号]]、[[神舟十二号]]航天员,,,,
,景海鹏,Jing Haipeng,男,中国,1966年10月,,,,,,,,,
"*{{Flagicon|CHN}} [[Liu Yang (astronaut)|Liu Yang]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[Shenzhou 9]], [[Shenzhou 14]]",刘洋,Liu Yang,女,中国,1978年10月,,,,,,,,,
,刘旺,Liu Wang,男,中国,1969年3月,,,,,,,,,
,王亚平,Wang Yaping,女,中国,1980年1月,,,,,,,,,
,张晓光,,男,中国,1966年5月,,,,,,,,,
